conteo,tupla,X,L,M,T,P,Pr
4,3|29,74,13,13|58|163|75|65,13|58|163|75|65,0.0010666666666666667,0.4447888888888889
5,3|30,62,50,50|56|13|67|64|124,50|56|13|67|64|124,0.0013333333333333333,0.44487777777777776
3,3|31,93,145,145|22|104|103,145|22|104|103,0.0008,0.44469999999999993
5,3|32,62,50,50|104|29|126|47|18,50|104|29|126|47|18,0.0013333333333333333,0.44487777777777776
3,3|33,93,19,19|342|1|12,19|342|1|12,0.0008,0.44469999999999993
6,3|34,53,19,19|148|62|21|111|1|12,19|148|62|21|111|1|12,0.0016,0.4449666666666667
2,3|35,124,106,106|165|103,106|165|103,0.0005333333333333334,0.44461111111111107
3,3|36,93,102,102|132|20|120,102|132|20|120,0.0008,0.44469999999999993
4,3|37,74,158,158|28|52|39|97,158|28|52|39|97,0.0010666666666666667,0.4447888888888889
4,3|38,74,50,50|156|122|34|12,50|156|122|34|12,0.0010666666666666667,0.4447888888888889
6,3|39,53,119,119|40|1|26|14|32|142,119|40|1|26|14|32|142,0.0016,0.4449666666666667
6,3|40,53,63,88,63|88|20|12|88|90|13,0.0016,0.6671999999999999
6,3|41,53,50,50|5|56|49|11|29|174,50|5|56|49|11|29|174,0.0016,0.4449666666666667
3,3|42,93,159,159|24|46|145,159|24|46|145,0.0008,0.44469999999999993
2,3|43,124,167,167|62|145,167|62|145,0.0005333333333333334,0.44461111111111107
4,4|5,74,47,47|24|229|43|31,47|24|229|43|31,0.0010666666666666667,0.4447888888888889
2,4|6,124,225,225|132|17,225|132|17,0.0005333333333333334,0.44461111111111107
2,4|7,124,225,225|50|99,225|50|99,0.0005333333333333334,0.44461111111111107
7,4|8,46,61,61|13|40|16|23|10|2|209,61|13|40|16|23|10|2|209,0.0018666666666666666,0.44505555555555554
7,4|9,46,70,70|5|17|25|205|21|13|18,70|5|17|25|205|21|13|18,0.0018666666666666666,0.44505555555555554
4,4|10,74,117,117|32|126|42|57,117|32|126|42|57,0.0010666666666666667,0.4447888888888889
4,4|11,74,40,40|34|47|41|212,40|34|47|41|212,0.0010666666666666667,0.4447888888888889
5,4|12,62,82,82|28|20|32|17|195,82|28|20|32|17|195,0.0013333333333333333,0.44487777777777776
8,4|13,41,47,47|52|103|23|21|54|36|7|31,47|52|103|23|21|54|36|7|31,0.0021333333333333334,0.4451444444444444
5,4|14,62,75,46,75|46|125|46|65|17,0.0013333333333333333,0.6671111111111111
4,4|15,74,82,82|10|230|8|44,82|10|230|8|44,0.0010666666666666667,0.4447888888888889
6,4|16,53,47,47|63|11|41|45|39|128,47|63|11|41|45|39|128,0.0016,0.4449666666666667
5,4|17,62,130,130|73|79|35|40|17,130|73|79|35|40|17,0.0013333333333333333,0.44487777777777776
3,4|18,93,61,118,61|118|77|118,0.0008,0.6669333333333333
2,4|19,124,114,114|49|211,114|49|211,0.0005333333333333334,0.44461111111111107
5,4|20,62,70,70|44|35|9|198|18,70|44|35|9|198|18,0.0013333333333333333,0.44487777777777776
3,4|21,93,161,161|95|36|82,161|95|36|82,0.0008,0.44469999999999993
5,4|22,62,40,40|113|18|60|99|44,40|113|18|60|99|44,0.0013333333333333333,0.44487777777777776
3,4|23,93,291,291|39|6|38,291|39|6|38,0.0008,0.44469999999999993
4,4|24,74,92,92|7|223|15|37,92|7|223|15|37,0.0010666666666666667,0.4447888888888889
4,4|25,74,40,40|21|97|44|172,40|21|97|44|172,0.0010666666666666667,0.4447888888888889
3,4|26,93,40,40|122|69|143,40|122|69|143,0.0008,0.44469999999999993
3,4|27,93,163,163|119|9|83,163|119|9|83,0.0008,0.44469999999999993
2,4|28,124,282,282|55|37,282|55|37,0.0005333333333333334,0.44461111111111107
7,4|29,46,61,61|10|19|2|139|60|66|17,61|10|19|2|139|60|66|17,0.0018666666666666666,0.44505555555555554
2,4|30,124,161,161|46|167,161|46|167,0.0005333333333333334,0.44461111111111107
3,4|31,93,75,75|92|35|172,75|92|35|172,0.0008,0.44469999999999993
4,4|32,74,90,90|59|16|191|18,90|59|16|191|18,0.0010666666666666667,0.4447888888888889
6,4|33,53,82,82|8|59|53|44|90|38,82|8|59|53|44|90|38,0.0016,0.4449666666666667
4,4|34,74,75,75|90|2|124|83,75|90|2|124|83,0.0010666666666666667,0.4447888888888889
5,4|35,62,70,70|44|3|13|49|195,70|44|3|13|49|195,0.0013333333333333333,0.44487777777777776
6,4|36,53,74,74|47|82|28|44|62|37,74|47|82|28|44|62|37,0.0016,0.4449666666666667
4,4|37,74,153,153|5|45|114|57,153|5|45|114|57,0.0010666666666666667,0.4447888888888889
1,4|38,187,330,330|44,330|44,0.0002666666666666667,0.4445222222222222
2,4|39,124,99,99|238|37,99|238|37,0.0005333333333333334,0.44461111111111107
5,4|40,62,117,117|48|6|36|136|31,117|48|6|36|136|31,0.0013333333333333333,0.44487777777777776
4,4|41,74,47,47|52|72|104|99,47|52|72|104|99,0.0010666666666666667,0.4447888888888889
4,4|42,74,82,82,82|174|26|10|82,0.0010666666666666667,0.6670222222222222
4,4|43,74,70,70|91|6|36|171,70|91|6|36|171,0.0010666666666666667,0.4447888888888889
7,5|6,46,46,46|139|81|20|4|50|31|3,46|139|81|20|4|50|31|3,0.0018666666666666666,0.44505555555555554
4,5|7,74,46,46|203|62|60|3,46|203|62|60|3,0.0010666666666666667,0.4447888888888889
4,5|8,74,21,21|56|3|105|189,21|56|3|105|189,0.0010666666666666667,0.4447888888888889
6,5|9,53,228,13,228|13|45|13|12|32|31,0.0016,0.6671999999999999
2,5|10,124,5,5|75|294,5|75|294,0.0005333333333333334,0.44461111111111107
3,5|11,93,13,13|8|220|133,13|8|220|133,0.0008,0.44469999999999993
4,5|12,74,1,1|43|33|294|3,1|43|33|294|3,0.0010666666666666667,0.4447888888888889
9,5|13,37,6,6|41|33|35|93|11|81|40|3|31,6|41|33|35|93|11|81|40|3|31,0.0024,0.4452333333333333
5,5|14,62,54,54|61|104|47|24|84,54|61|104|47|24|84,0.0013333333333333333,0.44487777777777776
5,5|16,62,16,16|5|26|129|114|84,16|5|26|129|114|84,0.0013333333333333333,0.44487777777777776
1,5|17,187,77,77|297,77|297,0.0002666666666666667,0.4445222222222222
2,5|18,124,26,26|197|151,26|197|151,0.0005333333333333334,0.44461111111111107
2,5|19,124,6,6|217|151,6|217|151,0.0005333333333333334,0.44461111111111107
3,5|20,93,80,80|115|54|125,80|115|54|125,0.0008,0.44469999999999993
2,5|21,124,5,5|1|368,5|1|368,0.0005333333333333334,0.44461111111111107
1,5|22,187,208,208|166,208|166,0.0002666666666666667,0.4445222222222222
4,5|23,74,1,1|15|60|136|162,1|15|60|136|162,0.0010666666666666667,0.4447888888888889
2,5|24,124,69,69|143|162,69|143|162,0.0005333333333333334,0.44461111111111107
4,5|25,74,6,6|7|31|179|151,6|7|31|179|151,0.0010666666666666667,0.4447888888888889
6,5|26,53,44,44|32|39|61|90|74|34,44|32|39|61|90|74|34,0.0016,0.4449666666666667
3,5|27,93,69,69|116|10|179,69|116|10|179,0.0008,0.44469999999999993
5,5|28,62,1,1|4|41|8|257|63,1|4|41|8|257|63,0.0013333333333333333,0.44487777777777776
5,5|29,62,13,13|40|18|141|87|75,13|40|18|141|87|75,0.0013333333333333333,0.44487777777777776
2,5|30,124,186,186|9|179,186|9|179,0.0005333333333333334,0.44461111111111107
3,5|31,93,54,54|61|151|108,54|61|151|108,0.0008,0.44469999999999993
5,5|32,62,21,21|25|23|7|100|198,21|25|23|7|100|198,0.0013333333333333333,0.44487777777777776
2,5|33,124,53,53|186|135,53|186|135,0.0005333333333333334,0.44461111111111107
5,5|34,62,53,53|155|20|11|10|125,53|155|20|11|10|125,0.0013333333333333333,0.44487777777777776
4,5|35,74,1,1|68|150|71|84,1|68|150|71|84,0.0010666666666666667,0.4447888888888889
1,5|36,187,176,176|198,176|198,0.0002666666666666667,0.4445222222222222
3,5|37,93,186,186|63|122|3,186|63|122|3,0.0008,0.44469999999999993
3,5|38,93,26,26|50|119|179,26|50|119|179,0.0008,0.44469999999999993
4,5|39,74,53,53|1|132|100|88,53|1|132|100|88,0.0010666666666666667,0.4447888888888889
1,5|40,187,343,343|31,343|31,0.0002666666666666667,0.4445222222222222
4,5|41,74,26,26|21|176|16|135,26|21|176|16|135,0.0010666666666666667,0.4447888888888889
6,5|42,53,5,13,5|214|9|13|45|13|75,0.0016,0.6671999999999999
5,5|43,62,44,44|33|131|4|27|135,44|33|131|4|27|135,0.0013333333333333333,0.44487777777777776
4,6|7,74,46,46|122|57|146|3,46|122|57|146|3,0.0010666666666666667,0.4447888888888889
5,6|8,62,131,131|37|9|8|119|70,131|37|9|8|119|70,0.0013333333333333333,0.44487777777777776
2,6|9,124,286,286|62|26,286|62|26,0.0005333333333333334,0.44461111111111107
3,6|10,93,65,65|116|83|110,65|116|83|110,0.0008,0.44469999999999993
1,6|11,187,295,295|79,295|79,0.0002666666666666667,0.4445222222222222
7,6|12,46,141,141|6|34|55|59|43|33|3,141|6|34|55|59|43|33|3,0.0018666666666666666,0.44505555555555554
6,6|13,53,131,131|46|16|32|79|36|34,131|46|16|32|79|36|34,0.0016,0.4449666666666667
9,6|14,37,28,28|37|18|58|36|89|24|51|16|17,28|37|18|58|36|89|24|51|16|17,0.0024,0.4452333333333333
