conteo,tupla,X,L,M,T
6,3|11,70.4,138,138|30|10|77|97,138|30|10|77|97
5,3|12,88.0,41,41|47|29|235,41|47|29|235
3,3|13,117.33333333333333,306,306|18|28,306|18|28
2,3|14,117.33333333333333,160,160|164|28,160|164|28
3,3|15,117.33333333333333,151,151|59|142,151|59|142
6,3|16,70.4,88,88|1|139|8|116,88|1|139|8|116
4,3|17,88.0,132,132|5|187|28,132|5|187|28
5,3|18,70.4,80,80|127|21|27|97,80|127|21|27|97
5,3|19,70.4,11,11|149|8|68|116,11|149|8|68|116
10,3|20,39.111111111111114,11,11|86|39|15|81|4|98|5|13,11|86|39|15|81|4|98|5|13
3,3|21,88.0,11,11|69|226|46,11|69|226|46
6,3|22,58.666666666666664,149,149|11|52|4|16|120,149|11|52|4|16|120
10,3|23,39.111111111111114,84,84|48|19|33|52|13|38|37|28,84|48|19|33|52|13|38|37|28
3,3|24,88.0,117,117|115|23|97,117|115|23|97
8,3|25,39.111111111111114,89,89|28|12|7|1|14|17|16|168,89|28|12|7|1|14|17|16|168
4,3|26,88.0,117,117|95|128|12,117|95|128|12
1,3|27,176.0,138,138|214,138|214
5,3|28,58.666666666666664,11,11|22|96|87|71|65,11|22|96|87|71|65
3,3|29,88.0,49,49|163|75|65,49|163|75|65
6,3|30,58.666666666666664,28,28|56|13|67|64|124,28|56|13|67|64|124
3,3|31,88.0,123,123|22|104|103,123|22|104|103
5,3|32,58.666666666666664,28,28|104|29|126|47|18,28|104|29|126|47|18
2,3|33,117.33333333333333,339,339|1|12,339|1|12
5,3|34,58.666666666666664,145,145|62|21|111|1|12,145|62|21|111|1|12
2,3|35,117.33333333333333,84,84|165|103,84|165|103
3,3|36,88.0,80,80|132|20|120,80|132|20|120
4,3|37,70.4,136,136|28|52|39|97,136|28|52|39|97
4,3|38,70.4,28,28|156|122|34|12,28|156|122|34|12
6,3|39,50.285714285714285,97,97|40|1|26|14|32|142,97|40|1|26|14|32|142
6,3|40,50.285714285714285,41,88,41|88|20|12|88|90|13
6,3|41,50.285714285714285,28,28|5|56|49|11|29|174,28|5|56|49|11|29|174
3,3|42,88.0,137,137|24|46|145,137|24|46|145
2,3|43,117.33333333333333,145,145|62|145,145|62|145
6,4|5,70.4,25,25|24|229|43|31,25|24|229|43|31
3,4|6,117.33333333333333,203,203|132|17,203|132|17
3,4|7,117.33333333333333,203,203|50|99,203|50|99
11,4|8,44.0,39,39|13|40|16|23|10|2|209,39|13|40|16|23|10|2|209
11,4|9,44.0,48,48|5|17|25|205|21|13|18,48|5|17|25|205|21|13|18
5,4|10,70.4,95,95|32|126|42|57,95|32|126|42|57
7,4|11,70.4,18,18|34|47|41|212,18|34|47|41|212
6,4|12,58.666666666666664,60,60|28|20|32|17|195,60|28|20|32|17|195
11,4|13,39.111111111111114,25,25|52|103|23|21|54|36|7|31,25|52|103|23|21|54|36|7|31
5,4|14,58.666666666666664,53,46,53|46|125|46|65|17
