conteo,tupla,X,L,M,T
1,12|19|22|38,176.0,347,347|5,347|5
1,12|19|27|28,176.0,271,271|81,271|81
1,12|19|27|41,176.0,271,271|81,271|81
1,12|19|28|41,176.0,271,271|81,271|81
1,12|19|29|43,176.0,91,91|261,91|261
1,12|19|35|38,176.0,347,347|5,347|5
1,12|20|29|43,176.0,91,91|261,91|261
1,12|20|36|40,176.0,342,342|10,342|10
1,12|20|39|41,176.0,215,215|137,215|137
1,12|22|29|39,176.0,292,292|60,292|60
1,12|22|30|31,176.0,64,64|288,64|288
1,12|22|30|34,176.0,64,64|288,64|288
1,12|22|31|34,176.0,64,64|288,64|288
1,12|22|35|38,176.0,347,347|5,347|5
1,12|23|33|36,176.0,37,37|315,37|315
1,12|23|35|39,176.0,240,240|112,240|112
1,12|24|25|26,176.0,117,117|235,117|235
1,12|25|26|43,176.0,22,22|330,22|330
1,12|25|27|41,176.0,110,110|242,110|242
1,12|25|31|42,176.0,341,341|11,341|11
1,12|25|32|33,176.0,222,222|130,222|130
1,12|25|32|41,176.0,222,222|130,222|130
1,12|25|33|39,176.0,230,230|122,230|122
1,12|25|33|41,176.0,222,222|130,222|130
1,12|27|28|41,176.0,271,271|81,271|81
1,12|28|30|33,176.0,250,250|102,250|102
1,12|30|31|34,176.0,64,64|288,64|288
1,12|31|33|43,176.0,121,121|231,121|231
1,12|32|33|41,176.0,222,222|130,222|130
1,12|34|35|36,176.0,213,213|139,213|139
1,12|39|40|43,176.0,243,243|109,243|109
1,13|14|16|33,176.0,224,224|128,224|128
1,13|14|17|23,176.0,324,324|28,324|28
1,13|14|26|31,176.0,93,93|259,93|259
1,13|14|26|42,176.0,281,281|71,281|71
1,13|14|35|42,176.0,197,197|155,197|155
1,13|15|18|26,176.0,317,317|35,317|35
1,13|15|18|31,176.0,272,272|80,272|80
1,13|15|18|43,176.0,317,317|35,317|35
1,13|15|24|33,176.0,252,252|100,252|100
1,13|15|24|40,176.0,252,252|100,252|100
1,13|15|26|31,176.0,171,171|181,171|181
1,13|15|26|43,176.0,317,317|35,317|35
1,13|15|33|40,176.0,252,252|100,252|100
1,13|16|28|34,176.0,241,241|111,241|111
1,13|16|28|37,176.0,241,241|111,241|111
