conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
6,12|15,63,59,4,59|55|29|141|122|33|3,59|55|29|141|122|33|3,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
4,9|40,88,84,4,84|54|157|147|0,84|54|157|147|0,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
5,9|30,73,77,4,77|140|18|60|6|141,77|140|18|60|6|141,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
12,20|22,34,38,4,38,38|34|3|27|106|15|16|17|38|23|58|12|55,0.002708803611738149,0.6675696012039127,1.0,1.0,0.002708803611738149
4,11|42,88,92,4,92|85|101|43|121,92|85|101|43|121,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
6,18|23,63,68,5,68|31|72|8|14|115|134,68|31|72|8|14|115|134,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
8,22|28,49,44,5,44|107|20|85|10|28|43|63|42,44|107|20|85|10|28|43|63|42,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
8,22|38,49,44,5,44|3|15|39|60|52|14|213|2,44|3|15|39|60|52|14|213|2,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
5,28|41,73,78,5,78|32|24|239|60|9,78|32|24|239|60|9,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
4,4|12,88,83,5,83|4|239|63|53,83|4|239|63|53,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
6,8|21,63,58,5,58|40|98|134|16|94|2,58|40|98|134|16|94|2,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
12,4|8,34,29,5,29|71|51|9|16|11|76|35|28|2|3|92|19,29|71|51|9|16|11|76|35|28|2|3|92|19,0.002708803611738149,0.6675696012039127,1.0,1.0,0.002708803611738149
11,29|41,36,30,6,50,30|10|50|24|13|60|6|48|66|50|4|81,0.0024830699774266367,0.6674943566591423,1.0,1.0,0.0024830699774266367
7,3|9,55,61,6,61|4|17|159|60|6|135|0,61|4|17|159|60|6|135|0,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
2,23|27,147,141,6,141|184|117,141|184|117,0.0004514672686230248,0.6668171557562076,1.0,1.0,0.0004514672686230248
10,10|18,40,34,6,5,34|14|22|5|11|5|41|61|160|15|74,0.002257336343115124,0.6674191121143718,1.0,1.0,0.002257336343115124
4,8|35,88,82,6,82|16|182|4|158,82|16|182|4|158,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
8,5|30,49,43,6,43,43|73|14|76|47|40|43|23|83,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
6,4|42,63,69,6,69|86|122|39|79|21|26,69|86|122|39|79|21|26,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
3,11|24,110,104,6,104|32|68|238,104|32|68|238,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
9,5|20,44,38,6,39,38|170|11|39|39|105|29|7|1|3,0.0020316027088036117,0.6673438675696012,1.0,1.0,0.0020316027088036117
7,2|14,55,49,6,49|3|87|197|26|16|30|34,49|3|87|197|26|16|30|34,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
8,30|37,49,43,6,43|86|3|88|12|11|99|17|83,43|86|3|88|12|11|99|17|83,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
3,1|24,110,104,6,104|13|155|170,104|13|155|170,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
7,2|3,55,49,6,49|31|51|74|13|105|54|65,49|31|51|74|13|105|54|65,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
9,10|22,44,38,6,37,38|37|67|42|92|77|22|18|37|12,0.0020316027088036117,0.6673438675696012,1.0,1.0,0.0020316027088036117
5,10|26,73,79,6,79|73|24|31|10|225,79|73|24|31|10|225,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
3,32|39,110,104,6,104|138|97|103,104|138|97|103,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
3,1|39,110,104,6,104|21|22|295,104|21|22|295,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
5,1|38,73,67,6,67|32|82|182|40|39,67|32|82|182|40|39,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
7,8|10,55,48,7,48|128|69|25|10|105|45|12,48|128|69|25|10|105|45|12,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
7,8|42,55,48,7,48|44|3|61|104|70|55|57,48|44|3|61|104|70|55|57,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
4,23|40,88,81,7,81|22|164|89|86,81|22|164|89|86,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
5,3|4,73,80,7,106,80|106|27|118|106|5,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
4,23|29,88,81,7,81|46|54|12|249,81|46|54|12|249,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
2,9|26,147,154,7,154|63|225,154|63|225,0.0004514672686230248,0.6668171557562076,1.0,1.0,0.0004514672686230248
5,40|43,73,66,7,66,66|136|66|160|9|5,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
7,10|42,55,48,7,48|141|153|22|16|5|32|25,48|141|153|22|16|5|32|25,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
