conteo,tupla
1,7|19|37|40
1,7|20|23|32
1,7|20|26|32
1,7|20|26|38
1,7|20|32|38
1,7|21|23|28
1,7|21|32|33
1,7|21|32|34
1,7|21|33|34
1,7|22|23|42
1,7|22|25|32
1,7|22|25|33
1,7|22|32|33
1,7|23|33|35
1,7|23|33|36
1,7|23|34|43
2,7|23|35|36
1,7|23|36|43
1,7|24|35|43
1,7|25|29|32
1,7|25|29|41
1,7|25|31|33
1,7|25|31|41
1,7|25|32|33
1,7|25|32|41
1,7|25|33|41
1,7|26|27|41
1,7|26|30|32
1,7|26|32|33
1,7|26|32|38
1,7|26|41|43
1,7|27|29|41
1,7|27|32|40
1,7|27|35|41
1,7|27|38|39
1,7|28|34|40
1,7|29|32|41
1,7|31|33|41
1,7|32|33|34
1,7|32|37|38
1,7|32|37|41
1,7|32|38|41
1,7|33|35|36
1,7|34|40|42
1,7|37|38|41
1,8|9|11|36
1,8|9|11|42
1,8|9|22|23
1,8|9|23|35
1,8|9|36|42
1,8|10|12|40
1,8|10|15|40
1,8|10|18|31
1,8|10|18|42
1,8|10|19|22
1,8|10|19|30
1,8|10|22|30
1,8|10|26|32
1,8|10|30|35
1,8|10|30|40
1,8|10|31|42
1,8|10|35|40
1,8|10|42|43
1,8|11|25|31
1,8|11|25|32
1,8|11|29|32
1,8|11|31|32
1,8|11|36|42
1,8|12|14|30
1,8|12|15|27
1,8|12|15|35
1,8|12|15|38
1,8|12|17|31
1,8|12|19|30
1,8|12|27|35
1,8|12|27|41
1,8|12|29|30
1,8|12|29|31
1,8|12|30|31
1,8|13|22|24
1,8|13|22|30
1,8|13|24|30
1,8|13|27|41
1,8|14|20|23
1,8|14|20|28
1,8|14|23|28
1,8|14|26|33
1,8|14|28|36
1,8|14|28|43
1,8|14|29|41
1,8|14|36|43
2,8|15|21|27
1,8|15|21|32
1,8|15|21|35
1,8|15|26|32
1,8|15|26|37
1,8|15|27|32
2,8|15|27|35
1,8|15|30|36
1,8|15|30|41
1,8|15|32|37
1,8|15|36|41
1,8|16|31|37
1,8|17|18|37
1,8|17|18|42
1,8|17|20|21
1,8|17|20|32
1,8|17|21|32
1,8|17|23|38
1,8|17|32|37
1,8|17|37|42
1,8|18|19|22
1,8|18|19|32
1,8|18|19|38
1,8|18|19|42
1,8|18|20|24
1,8|18|22|23
1,8|18|22|28
1,8|18|22|38
1,8|18|23|28
1,8|18|29|40
1,8|18|31|42
1,8|18|32|42
1,8|18|37|42
1,8|19|22|30
1,8|19|22|38
1,8|19|23|37
1,8|19|28|36
1,8|19|28|40
1,8|19|29|40
1,8|19|32|42
