conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
1,12|12,7,11,4,1,11|1|23|1|2|8|16|17|1|3|8|32|8|6|1|4|14|5|4|14|10|3|3|14|2|7|2|2|3|1|15|17|2|29|25|1|1|7|8|5|3|2|3|5|2|17|4|1|1|18|1|24|14|7|4|1|5|2|3,0.00022026431718061675,0.6667400881057269,1.0,1.0,0.00022026431718061675
2,26|38,151,155,4,155|286|12,155|286|12,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
6,16|20,64,59,5,59|129|48|83|11|7|116,59|129|48|83|11|7|116,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
5,14|22,75,70,5,70|74|14|103|123|69,70|74|14|103|123|69,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
8,10|25,50,45,5,21,45|121|21|3|21|5|15|136|86,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
3,2|19,113,108,5,108|14|151|180,108|14|151|180,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
5,5|28,75,80,5,80|4|41|8|257|63,80|4|41|8|257|63,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
8,6|25,50,45,5,45|18|99|42|55|26|75|91|2,45|18|99|42|55|26|75|91|2,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
6,11|33,64,69,5,69|108|38|106|10|55|67,69|108|38|106|10|55|67,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
5,14|21,75,70,5,70|37|196|68|18|64,70|37|196|68|18|64,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
10,9|12,41,36,5,36|2|99|1|57|27|117|29|24|46|15,36|2|99|1|57|27|117|29|24|46|15,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
6,1|19,64,59,5,59|104|40|39|46|143|22,59|104|40|39|46|143|22,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
3,13|39,113,118,5,118|60|163|112,118|60|163|112,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
7,22|42,56,61,5,61|3|29|34|107|150|14|55,61|3|29|34|107|150|14|55,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
3,13|24,113,118,5,118|60|175|100,118|60|175|100,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
7,12|25,56,62,6,62|61|88|7|105|8|111|11,62|61|88|7|105|8|111|11,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
3,4|26,113,119,6,119|122|69|143,119|122|69|143,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
7,7|25,56,62,6,62|9|45|50|46|57|63|121,62|9|45|50|46|57|63|121,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
6,19|21,64,70,6,70|15|27|156|20|143|22,70|15|27|156|20|143|22,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
1,14|38,226,220,6,220|233,220|233,0.00022026431718061675,0.6667400881057269,1.0,1.0,0.00022026431718061675
6,19|23,64,70,6,70|127|7|105|28|73|43,70|127|7|105|28|73|43,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
4,9|19,90,96,6,96|121|92|46|98,96|121|92|46|98,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
5,1|10,75,69,6,69|97|58|42|142|45,69|97|58|42|142|45,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
7,37|41,56,50,6,50|59|237|20|26|31|30|0,50|59|237|20|26|31|30|0,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
4,10|28,90,84,6,84|86|46|192|45,84|86|46|192|45,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
1,1|17,226,233,7,233|220,233|220,0.00022026431718061675,0.6667400881057269,1.0,1.0,0.00022026431718061675
10,22|37,41,34,7,34|74|16|4|84|20|85|107|8|2|19,34|74|16|4|84|20|85|107|8|2|19,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
10,36|37,41,34,7,34|15|25|22|32|36|48|70|19|152|0,34|15|25|22|32|36|48|70|19|152|0,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
6,6|39,64,57,7,57|19|68|107|9|105|88,57|19|68|107|9|105|88,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
6,4|35,64,57,7,57|92|44|3|13|49|195,57|92|44|3|13|49|195,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
7,17|37,56,49,7,49|115|11|107|30|84|15|42,49|115|11|107|30|84|15|42,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
7,18|36,56,49,7,49|66|5|16|45|166|70|36,49|66|5|16|45|166|70|36,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
7,37|42,56,49,7,49|1|29|64|25|243|16|26,49|1|29|64|25|243|16|26,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
9,12|16,45,38,7,10,38|93|48|10|36|16|74|24|10|104,0.001982378854625551,0.6673274596182085,1.0,1.0,0.001982378854625551
3,24|30,113,121,8,121|24|174|134,121|24|174|134,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
2,8|10,151,159,8,159|152|142,159|152|142,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
5,29|35,75,67,8,67|132|9|23|26|196,67|132|9|23|26|196,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
6,17|28,64,72,8,72|31|43|211|4|41|51,72|31|43|211|4|41|51,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
4,3|26,90,98,8,98|120|95|128|12,98|120|95|128|12,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
5,1|3,75,83,8,83|15|36|90|9|220,83|15|36|90|9|220,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
6,24|40,64,72,8,72|10|38|25|112|96|100,72|10|38|25|112|96|100,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
