conteo,tupla
56,1
62,2
62,3
66,4
60,5
50,6
59,7
67,8
53,9
62,10
49,11
47,12
51,13
48,14
58,15
49,16
49,17
55,18
59,19
59,20
40,21
69,22
58,23
53,24
55,25
60,26
58,27
58,28
55,29
56,30
57,31
65,32
47,33
59,34
57,35
58,36
50,37
49,38
52,39
67,40
55,41
46,42
50,43
