conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
50,31,8,11,3,2,11|1|1|4|28|5|3|2|5|11|20|25|3|1|1|17|13|8|11|19|10|9|16|3|2|22|17|7|2|6|3|45|17|2|5|13|10|4|6|2|6|9|6|7|11|2|11|5|3|7|1,0.02178649237472767,0.673928830791576,1.0,1.0,0.02178649237472767
53,16,8,4,4,4,4|21|4|9|5|9|8|4|18|18|5|4|6|16|5|5|7|25|11|1|4|3|1|1|1|10|25|2|9|5|14|12|1|2|16|10|5|14|4|6|4|1|7|2|3|7|15|5|6|35|4|7|12|20,0.02309368191721133,0.6743645606390705,1.0,1.0,0.02309368191721133
48,39,9,5,4,1,5|1|14|11|31|19|18|7|17|14|1|11|33|1|1|1|11|4|3|5|18|17|1|9|3|9|5|10|4|4|14|14|5|15|9|1|3|2|19|1|27|2|5|5|11|13|5|15|4,0.02091503267973856,0.6736383442265795,1.0,1.0,0.02091503267973856
41,17,10,6,4,2,6|48|3|9|2|5|4|18|13|11|32|10|8|9|2|8|1|23|2|24|5|7|6|16|15|12|18|14|14|9|8|2|2|13|2|9|11|6|9|14|11|17,0.01786492374727669,0.6726216412490923,1.0,1.0,0.01786492374727669
51,7,8,13,5,2,13|2|10|2|8|2|15|5|10|3|2|4|2|13|1|23|5|1|5|4|11|1|2|3|24|19|3|24|35|14|8|1|9|17|8|24|4|4|10|6|2|5|5|13|13|22|17|1|1|13|6|3,0.022222222222222223,0.674074074074074,1.0,1.0,0.022222222222222223
50,32,8,3,5,6,3|7|8|5|3|16|11|6|6|11|16|6|7|25|4|12|7|7|5|4|5|45|13|1|5|10|1|5|6|7|11|16|1|2|31|1|2|36|1|5|8|12|6|6|6|14|4|10|1|9|9,0.02178649237472767,0.673928830791576,1.0,1.0,0.02178649237472767
47,21,9,14,5,1,14|10|6|2|3|8|20|6|1|5|7|7|1|3|11|7|1|5|1|18|20|13|10|3|4|20|22|17|13|14|1|20|2|4|5|4|12|9|11|36|18|2|9|4|3|24|15|7,0.020479302832244008,0.6734931009440813,1.0,1.0,0.020479302832244008
62,34,7,2,5,1,2|7|2|1|3|7|5|5|5|4|1|5|2|12|25|7|1|9|8|22|4|5|17|3|6|2|40|8|10|12|9|2|1|1|1|8|30|10|3|7|1|6|4|6|4|1|10|3|1|5|18|4|10|18|8|4|10|6|3|9|2|1|12,0.02701525054466231,0.6756717501815541,1.0,1.0,0.02701525054466231
45,24,9,4,5,3,4|15|32|17|9|5|1|1|3|31|5|2|1|3|21|3|9|14|1|6|13|27|9|18|3|3|6|13|13|8|15|13|14|20|3|6|15|10|11|3|5|5|5|13|8|16,0.0196078431372549,0.6732026143790849,1.0,1.0,0.0196078431372549
53,35,8,2,6,1|3,2|1|2|4|9|10|13|17|3|1|10|13|10|13|4|3|29|8|1|1|21|2|2|11|8|3|3|3|6|1|14|3|3|2|22|4|1|40|7|1|8|13|14|9|13|6|12|18|5|4|6|19|15|5,0.02309368191721133,0.6743645606390705,1.0,1.0,0.02309368191721133
