conteo,tupla
65,1
59,2
50,3
57,4
55,5
56,6
54,7
62,8
51,9
55,10
52,11
62,12
48,13
59,14
55,15
57,16
44,17
61,18
54,19
69,20
49,21
60,22
58,23
49,24
65,25
47,26
50,27
60,28
54,29
46,30
52,31
50,32
56,33
64,34
57,35
59,36
66,37
38,38
50,39
63,40
58,41
60,42
59,43
