conteo,tupla
1,7|25|29|32|41
1,7|25|31|33|41
1,7|32|37|38|41
1,8|9|11|36|42
1,8|10|18|31|42
1,8|10|19|22|30
1,8|10|30|35|40
1,8|11|25|31|32
1,8|12|15|27|35
1,8|12|29|30|31
1,8|13|22|24|30
1,8|14|20|23|28
1,8|14|28|36|43
1,8|15|21|27|32
1,8|15|21|27|35
1,8|15|26|32|37
1,8|15|30|36|41
1,8|17|18|37|42
1,8|17|20|21|32
1,8|18|19|22|38
1,8|18|19|32|42
1,8|18|22|23|28
1,8|19|28|36|40
1,8|20|22|37|43
1,8|21|22|37|38
1,8|21|33|34|42
1,8|22|24|25|40
1,8|23|27|33|42
1,8|25|31|33|39
1,8|26|31|38|39
1,8|36|37|38|42
1,9|10|13|14|37
1,9|10|14|41|42
1,9|10|15|22|24
1,9|10|26|30|36
1,9|10|27|35|42
1,9|11|31|35|36
1,9|12|16|28|38
1,9|13|14|17|34
1,9|15|19|30|34
1,9|15|24|31|36
1,9|16|26|29|31
1,9|17|21|34|40
1,9|18|25|38|39
1,9|19|20|35|39
1,9|22|25|30|40
1,9|22|25|31|40
1,9|23|31|39|42
1,10|11|15|23|38
1,10|11|30|36|43
1,10|12|15|41|43
1,10|12|17|20|32
1,10|12|27|34|40
1,10|13|18|19|37
1,10|13|21|34|43
1,10|14|29|35|37
1,10|14|30|37|42
1,10|15|21|33|39
1,10|18|20|22|24
1,10|18|21|22|33
1,10|18|23|29|41
1,10|19|20|21|24
1,10|19|20|22|31
1,10|19|32|38|40
1,10|20|23|28|39
1,10|20|25|30|36
1,10|24|36|38|42
1,10|25|26|27|29
1,11|12|17|27|41
1,11|12|19|32|33
1,11|13|14|23|42
1,11|13|17|25|38
1,11|13|18|21|37
1,11|14|16|19|33
1,11|14|23|30|35
1,11|15|23|26|39
1,11|16|18|34|36
1,11|18|30|40|42
1,11|19|20|27|28
1,11|19|24|34|39
1,11|19|28|32|36
1,11|28|31|33|41
1,12|13|14|31|35
1,12|14|16|25|28
1,12|15|29|39|41
1,12|16|22|31|32
1,12|17|27|29|32
1,12|19|20|33|39
1,12|21|25|27|34
1,12|24|34|37|40
1,13|15|16|31|37
1,13|15|24|29|30
1,13|16|17|22|25
1,13|16|24|35|36
1,13|17|30|34|43
1,13|19|28|39|42
1,13|20|26|36|40
1,13|20|29|39|40
1,13|21|22|24|32
1,13|22|26|36|38
1,13|26|33|35|40
1,13|28|31|35|43
1,14|15|38|42|43
1,14|16|18|24|31
1,14|16|32|34|39
1,14|20|23|33|38
1,14|20|28|36|37
1,14|22|23|31|38
1,14|22|24|25|32
1,14|22|25|32|40
1,14|25|28|34|36
1,15|16|17|39|41
1,15|16|24|26|40
1,15|20|25|35|43
1,15|21|23|36|37
1,15|21|31|32|33
1,15|29|32|40|43
1,16|17|23|34|36
1,16|17|31|36|38
1,16|19|20|22|25
1,16|22|24|41|43
1,16|23|25|26|36
1,16|23|28|30|40
1,16|25|31|32|34
1,17|18|31|34|39
1,17|23|24|36|38
1,17|24|25|40|42
1,17|26|30|37|40
1,17|26|31|35|38
1,17|28|29|37|40
1,18|19|25|26|43
1,18|23|26|35|36
1,18|31|33|34|42
1,18|32|35|42|43
1,19|25|29|36|43
1,19|26|27|30|32
1,19|27|33|35|40
1,19|30|38|39|41
1,19|31|32|34|41
1,20|22|23|26|28
1,20|23|26|34|37
1,20|24|27|29|36
1,20|28|30|31|41
1,21|24|31|39|42
1,21|26|30|31|37
1,21|31|33|35|41
1,22|25|26|40|43
1,22|27|28|30|34
1,23|24|25|26|38
1,23|24|25|29|40
1,23|24|30|34|41
1,23|25|26|27|41
1,23|25|26|29|41
1,23|26|28|37|43
1,23|28|35|37|38
1,24|31|32|34|42
1,24|33|35|36|41
1,25|29|32|35|41
1,26|29|30|35|36
1,27|39|40|41|42
