conteo,tupla
49,1
48,2
42,3
46,4
35,5
41,6
36,7
45,8
37,9
47,10
41,11
48,12
40,13
44,14
36,15
44,16
33,17
47,18
42,19
52,20
33,21
38,22
45,23
36,24
51,25
38,26
39,27
45,28
40,29
31,30
39,31
39,32
42,33
45,34
40,35
47,36
50,37
30,38
42,39
48,40
49,41
40,42
45,43
