conteo,tupla,X,L,M,T
1,16|18|37|40,180.0,271,271|89,271|89
1,16|18|37|42,180.0,50,50|310,50|310
1,16|19|20|23,180.0,244,244|116,244|116
1,16|19|20|37,180.0,95,95|265,95|265
1,16|19|21|38,180.0,175,175|185,175|185
1,16|19|23|34,180.0,317,317|43,317|43
1,16|19|35|41,180.0,321,321|39,321|39
1,16|20|24|30,180.0,226,226|134,226|134
1,16|20|28|37,180.0,143,143|217,143|217
1,16|20|29|33,180.0,237,237|123,237|123
1,16|20|29|40,180.0,237,237|123,237|123
1,16|20|33|40,180.0,237,237|123,237|123
1,16|21|22|43,180.0,174,174|186,174|186
1,16|24|26|32,180.0,134,134|226,134|226
1,16|25|36|37,180.0,208,208|152,208|152
1,16|26|32|36,180.0,162,162|198,162|198
1,16|26|37|42,180.0,50,50|310,50|310
1,16|28|34|37,180.0,249,249|111,249|111
1,16|28|37|42,180.0,75,75|285,75|285
1,16|28|37|43,180.0,75,75|285,75|285
1,16|28|42|43,180.0,75,75|285,75|285
1,16|29|33|40,180.0,237,237|123,237|123
1,16|37|42|43,180.0,75,75|285,75|285
1,17|18|20|27,180.0,90,90|270,90|270
1,17|18|20|29,180.0,90,90|270,90|270
1,17|18|27|29,180.0,90,90|270,90|270
1,17|18|30|33,180.0,266,266|94,266|94
1,17|18|33|41,180.0,114,114|246,114|246
1,17|18|33|42,180.0,114,114|246,114|246
1,17|18|41|42,180.0,114,114|246,114|246
1,17|20|27|29,180.0,90,90|270,90|270
1,17|21|22|43,180.0,174,174|186,174|186
1,17|21|25|40,180.0,201,201|159,201|159
1,17|21|32|36,180.0,71,71|289,71|289
1,17|21|32|37,180.0,71,71|289,71|289
1,17|21|36|37,180.0,71,71|289,71|289
1,17|23|25|29,180.0,292,292|68,292|68
1,17|23|25|31,180.0,292,292|68,292|68
1,17|23|27|32,180.0,283,283|77,283|77
1,17|23|29|31,180.0,292,292|68,292|68
1,17|24|29|43,180.0,152,152|208,152|208
1,17|24|37|42,180.0,318,318|42,318|42
1,17|24|39|43,180.0,158,158|202,158|202
1,17|25|29|31,180.0,292,292|68,292|68
1,17|25|39|42,180.0,145,145|215,145|215
1,17|26|27|28,180.0,309,309|51,309|51
1,17|26|27|31,180.0,21,21|339,21|339
1,17|26|27|40,180.0,309,309|51,309|51
1,17|26|28|29,180.0,264,264|96,264|96
1,17|26|28|40,180.0,309,309|51,309|51
1,17|26|28|42,180.0,264,264|96,264|96
1,17|26|29|42,180.0,264,264|96,264|96
1,17|27|28|40,180.0,309,309|51,309|51
1,17|27|28|42,180.0,268,268|92,268|92
1,17|27|37|38,180.0,219,219|141,219|141
1,17|27|37|40,180.0,219,219|141,219|141
1,17|27|38|40,180.0,219,219|141,219|141
1,17|28|29|42,180.0,264,264|96,264|96
1,17|28|31|40,180.0,53,53|307,53|307
1,17|28|35|38,180.0,10,10|350,10|350
1,17|31|32|41,180.0,233,233|127,233|127
1,17|32|36|37,180.0,71,71|289,71|289
1,17|33|41|42,180.0,114,114|246,114|246
1,17|36|37|43,180.0,189,189|171,189|171
1,17|37|38|40,180.0,219,219|141,219|141
1,18|19|21|38,180.0,175,175|185,175|185
1,18|19|25|41,180.0,209,209|151,209|151
1,18|19|34|40,180.0,70,70|290,70|290
1,18|19|36|43,180.0,254,254|106,254|106
1,18|20|21|35,180.0,160,160|200,160|200
1,18|20|21|43,180.0,160,160|200,160|200
1,18|20|27|29,180.0,90,90|270,90|270
1,18|20|35|43,180.0,160,160|200,160|200
1,18|21|24|43,180.0,20,20|340,20|340
1,18|21|35|43,180.0,160,160|200,160|200
1,18|22|30|39,180.0,302,302|58,302|58
1,18|22|32|37,180.0,341,341|19,341|19
1,18|22|32|39,180.0,341,341|19,341|19
1,18|22|37|39,180.0,341,341|19,341|19
1,18|23|28|33,180.0,109,109|251,109|251
1,18|23|28|35,180.0,109,109|251,109|251
1,18|23|31|36,180.0,22,22|338,22|338
1,18|23|32|40,180.0,301,301|59,301|59
1,18|23|33|35,180.0,109,109|251,109|251
1,18|24|28|36,180.0,27,27|333,27|333
1,18|24|28|40,180.0,27,27|333,27|333
1,18|24|34|39,180.0,155,155|205,155|205
1,18|24|36|40,180.0,27,27|333,27|333
1,18|26|37|42,180.0,50,50|310,50|310
1,18|27|38|40,180.0,310,310|50,310|50
1,18|27|38|41,180.0,310,310|50,310|50
1,18|27|40|41,180.0,310,310|50,310|50
1,18|28|33|35,180.0,109,109|251,109|251
1,18|28|36|40,180.0,27,27|333,27|333
1,18|29|35|37,180.0,115,115|245,115|245
1,18|29|37|39,180.0,128,128|232,128|232
1,18|32|37|39,180.0,341,341|19,341|19
1,18|33|41|42,180.0,114,114|246,114|246
1,18|34|37|39,180.0,273,273|87,273|87
1,18|34|37|41,180.0,273,273|87,273|87
1,18|34|39|41,180.0,273,273|87,273|87
1,18|34|42|43,180.0,215,215|145,215|145
1,18|37|39|41,180.0,273,273|87,273|87
1,18|38|40|41,180.0,310,310|50,310|50
1,19|20|21|28,180.0,19,19|341,19|341
1,19|20|24|34,180.0,64,64|296,64|296
1,19|20|24|43,180.0,64,64|296,64|296
1,19|20|28|40,180.0,4,4|356,4|356
1,19|20|28|42,180.0,4,4|356,4|356
1,19|20|29|43,180.0,99,99|261,99|261
1,19|20|34|38,180.0,204,204|156,204|156
1,19|20|34|39,180.0,204,204|156,204|156
