conteo,tupla
42,1
51,2
45,3
53,4
40,5
35,6
44,7
53,8
34,9
48,10
36,11
36,12
37,13
39,14
45,15
36,16
38,17
40,18
40,19
48,20
34,21
52,22
45,23
42,24
39,25
46,26
40,27
45,28
41,29
48,30
45,31
52,32
34,33
49,34
39,35
42,36
41,37
37,38
36,39
48,40
41,41
35,42
34,43
