conteo,tupla,X,L,M,T
1,3|8|9,180.0,0,0|360,0|360
1,3|8|17,180.0,49,49|311,49|311
2,3|8|19,120.0,49,49|200|111,49|200|111
1,3|8|20,180.0,356,356|4,356|4
1,3|8|23,180.0,0,0|360,0|360
2,3|8|24,120.0,249,249|107|4,249|107|4
1,3|8|26,180.0,295,295|65,295|65
1,3|8|35,180.0,0,0|360,0|360
1,3|8|40,180.0,295,295|65,295|65
1,3|9|10,180.0,360,360|0,360|0
1,3|9|15,180.0,159,159|201,159|201
1,3|9|21,180.0,360,360|0,360|0
1,3|9|23,180.0,0,0|360,0|360
1,3|9|24,180.0,219,219|141,219|141
2,3|9|29,120.0,159,159|66|135,159|66|135
1,3|9|30,180.0,219,219|141,219|141
1,3|9|31,180.0,225,225|135,225|135
1,3|9|35,180.0,0,0|360,0|360
1,3|9|40,180.0,360,360|0,360|0
2,3|9|41,120.0,159,159|66|135,159|66|135
1,3|10|13,180.0,233,233|127,233|127
1,3|10|18,180.0,286,286|74,286|74
2,3|10|21,120.0,233,233|127|0,233|127|0
1,3|10|24,180.0,123,123|237,123|237
2,3|10|28,120.0,123,123|77|160,123|77|160
1,3|10|29,180.0,200,200|160,200|160
1,3|10|33,180.0,200,200|160,200|160
2,3|10|40,120.0,286,286|74|0,286|74|0
1,3|11|15,180.0,30,30|330,30|330
1,3|11|23,180.0,30,30|330,30|330
1,3|11|26,180.0,30,30|330,30|330
1,3|12|14,180.0,329,329|31,329|31
1,3|12|19,180.0,241,241|119,241|119
1,3|12|23,180.0,329,329|31,329|31
2,3|12|29,120.0,39,39|97|224,39|97|224
1,3|12|31,180.0,136,136|224,136|224
1,3|12|33,180.0,39,39|321,39|321
1,3|12|35,180.0,241,241|119,241|119
1,3|12|37,180.0,39,39|321,39|321
1,3|12|41,180.0,329,329|31,329|31
2,3|13|16,120.0,168,168|179|13,168|179|13
1,3|13|20,180.0,347,347|13,347|13
1,3|13|21,180.0,233,233|127,233|127
1,3|13|24,180.0,104,104|256,104|256
1,3|13|26,180.0,347,347|13,347|13
1,3|14|23,180.0,329,329|31,329|31
1,3|14|26,180.0,273,273|87,273|87
1,3|14|31,180.0,273,273|87,273|87
1,3|14|40,180.0,273,273|87,273|87
1,3|14|41,180.0,329,329|31,329|31
1,3|15|23,180.0,30,30|330,30|330
2,3|15|26,120.0,30,30|85|245,30|85|245
1,3|15|29,180.0,159,159|201,159|201
1,3|15|31,180.0,115,115|245,115|245
1,3|15|34,180.0,115,115|245,115|245
1,3|15|41,180.0,159,159|201,159|201
1,3|16|20,180.0,347,347|13,347|13
1,3|16|26,180.0,347,347|13,347|13
1,3|16|32,180.0,342,342|18,342|18
1,3|17|19,180.0,49,49|311,49|311
1,3|17|21,180.0,204,204|156,204|156
1,3|17|22,180.0,58,58|302,58|302
1,3|17|28,180.0,204,204|156,204|156
1,3|17|30,180.0,277,277|83,277|83
1,3|17|31,180.0,204,204|156,204|156
1,3|17|35,180.0,58,58|302,58|302
1,3|17|36,180.0,58,58|302,58|302
1,3|17|37,180.0,277,277|83,277|83
1,3|18|20,180.0,265,265|95,265|95
1,3|18|23,180.0,226,226|134,226|134
1,3|18|24,180.0,143,143|217,143|217
1,3|18|28,180.0,226,226|134,226|134
1,3|18|34,180.0,143,143|217,143|217
1,3|18|36,180.0,143,143|217,143|217
1,3|18|40,180.0,286,286|74,286|74
1,3|18|43,180.0,226,226|134,226|134
1,3|19|23,180.0,21,21|339,21|339
1,3|19|24,180.0,249,249|111,249|111
2,3|19|30,120.0,21,21|12|327,21|12|327
1,3|19|35,180.0,241,241|119,241|119
1,3|19|36,180.0,33,33|327,33|327
1,3|19|39,180.0,33,33|327,33|327
1,3|19|40,180.0,21,21|339,21|339
1,3|20|22,180.0,157,157|203,157|203
3,3|20|24,90.0,101,101|66|189|4,101|66|189|4
1,3|20|26,180.0,347,347|13,347|13
1,3|20|27,180.0,167,167|193,167|193
2,3|20|28,120.0,128,128|39|193,128|39|193
1,3|20|33,180.0,157,157|203,157|203
1,3|20|35,180.0,157,157|203,157|203
2,3|20|37,120.0,101,101|27|232,101|27|232
1,3|20|38,180.0,101,101|259,101|259
1,3|20|39,180.0,128,128|232,128|232
1,3|21|28,180.0,204,204|156,204|156
1,3|21|31,180.0,204,204|156,204|156
1,3|21|34,180.0,68,68|292,68|292
1,3|21|40,180.0,360,360|0,360|0
1,3|22|33,180.0,157,157|203,157|203
2,3|22|35,120.0,58,58|99|203,58|99|203
1,3|22|36,180.0,58,58|302,58|302
1,3|22|38,180.0,131,131|229,131|229
1,3|22|43,180.0,131,131|229,131|229
1,3|23|26,180.0,30,30|330,30|330
1,3|23|28,180.0,226,226|134,226|134
2,3|23|30,120.0,21,21|164|175,21|164|175
1,3|23|32,180.0,185,185|175,185|175
1,3|23|35,180.0,0,0|360,0|360
2,3|23|40,120.0,21,21|164|175,21|164|175
1,3|23|41,180.0,329,329|31,329|31
1,3|23|43,180.0,226,226|134,226|134
1,3|24|27,180.0,167,167|193,167|193
2,3|24|28,120.0,123,123|44|193,123|44|193
1,3|24|30,180.0,219,219|141,219|141
1,3|24|34,180.0,143,143|217,143|217
1,3|24|36,180.0,143,143|217,143|217
1,3|24|37,180.0,101,101|259,101|259
1,3|24|38,180.0,101,101|259,101|259
2,3|26|31,120.0,115,115|158|87,115|158|87
1,3|26|34,180.0,115,115|245,115|245
2,3|26|40,120.0,273,273|22|65,273|22|65
1,3|27|28,180.0,167,167|193,167|193
1,3|27|35,180.0,66,66|294,66|294
1,3|27|39,180.0,66,66|294,66|294
1,3|27|42,180.0,66,66|294,66|294
1,3|28|29,180.0,200,200|160,200|160
1,3|28|31,180.0,204,204|156,204|156
1,3|28|32,180.0,52,52|308,52|308
1,3|28|33,180.0,200,200|160,200|160
1,3|28|37,180.0,128,128|232,128|232
1,3|28|39,180.0,128,128|232,128|232
1,3|28|40,180.0,300,300|60,300|60
1,3|28|41,180.0,52,52|308,52|308
2,3|28|43,120.0,52,52|174|134,52|174|134
1,3|29|30,180.0,138,138|222,138|222
2,3|29|31,120.0,136,136|89|135,136|89|135
2,3|29|33,120.0,39,39|161|160,39|161|160
1,3|29|36,180.0,138,138|222,138|222
2,3|29|37,120.0,39,39|99|222,39|99|222
1,3|29|40,180.0,355,355|5,355|5
2,3|29|41,120.0,159,159|66|135,159|66|135
1,3|29|43,180.0,355,355|5,355|5
1,3|30|32,180.0,185,185|175,185|175
2,3|30|36,120.0,33,33|105|222,33|105|222
2,3|30|37,120.0,138,138|139|83,138|139|83
