conteo,tupla
4,1|2
3,1|3
4,1|4
9,1|5
2,1|6
3,1|7
6,1|8
4,1|9
5,1|10
5,1|11
5,1|12
3,1|13
7,1|14
6,1|15
2,1|16
2,1|17
3,1|18
4,1|19
8,1|20
2,1|21
4,1|22
7,1|23
3,1|24
3,1|25
4,1|26
2,1|27
2,1|28
4,1|29
5,1|30
2,1|31
4,1|32
3,1|33
4,1|34
3,1|35
3,1|36
3,1|37
4,1|38
3,1|39
6,1|40
4,1|41
5,1|42
3,1|43
5,2|3
5,2|4
7,2|5
7,2|6
5,2|7
7,2|8
3,2|9
6,2|10
3,2|11
6,2|12
2,2|13
5,2|14
7,2|15
6,2|16
3,2|17
2,2|18
7,2|19
3,2|20
4,2|21
6,2|22
5,2|23
4,2|24
3,2|25
7,2|26
8,2|27
10,2|28
5,2|29
5,2|30
4,2|31
6,2|32
4,2|33
6,2|34
4,2|35
3,2|36
6,2|37
3,2|38
1,2|39
6,2|40
6,2|41
3,2|42
2,2|43
4,3|4
3,3|5
4,3|6
7,3|7
5,3|8
5,3|9
5,3|10
1,3|11
4,3|12
4,3|13
2,3|14
3,3|15
3,3|16
4,3|17
4,3|18
5,3|19
7,3|20
4,3|21
3,3|22
6,3|23
8,3|24
5,3|26
2,3|27
8,3|28
7,3|29
6,3|30
5,3|31
3,3|32
3,3|33
3,3|34
5,3|35
5,3|36
5,3|37
2,3|38
4,3|39
9,3|40
4,3|41
1,3|42
4,3|43
1,4|5
4,4|6
4,4|7
11,4|8
2,4|9
4,4|10
5,4|11
4,4|12
5,4|13
3,4|14
2,4|15
3,4|16
6,4|17
9,4|18
5,4|19
6,4|20
3,4|21
7,4|22
2,4|23
7,4|24
6,4|25
5,4|26
6,4|27
3,4|28
7,4|29
5,4|30
5,4|31
9,4|32
5,4|33
6,4|34
4,4|35
8,4|36
6,4|37
7,4|38
2,4|39
4,4|40
6,4|41
5,4|42
7,4|43
2,5|6
3,5|7
3,5|8
1,5|10
1,5|11
5,5|12
4,5|13
3,5|14
7,5|15
6,5|16
4,5|17
5,5|18
2,5|19
8,5|20
3,5|21
8,5|22
3,5|23
3,5|24
3,5|25
6,5|26
6,5|27
1,5|28
5,5|29
7,5|30
2,5|31
1,5|32
2,5|33
6,5|34
4,5|35
2,5|36
2,5|37
2,5|38
6,5|39
5,5|40
3,5|41
1,5|42
5,5|43
4,6|7
3,6|8
3,6|9
4,6|10
1,6|11
2,6|12
2,6|13
5,6|14
5,6|15
3,6|16
3,6|17
5,6|18
2,6|19
5,6|20
3,6|21
5,6|22
1,6|23
4,6|24
2,6|26
6,6|27
5,6|28
4,6|29
7,6|30
3,6|31
4,6|32
2,6|33
7,6|34
4,6|35
1,6|36
1,6|37
4,6|38
6,6|39
4,6|40
1,6|42
6,7|8
2,7|9
4,7|10
4,7|11
1,7|12
6,7|13
3,7|14
6,7|15
7,7|16
4,7|17
6,7|18
2,7|19
2,7|20
4,7|21
6,7|22
3,7|23
4,7|24
3,7|25
5,7|26
3,7|27
6,7|28
2,7|29
2,7|30
1,7|31
11,7|32
5,7|33
4,7|34
2,7|35
1,7|36
3,7|37
7,7|38
4,7|39
6,7|40
7,7|41
3,7|42
5,7|43
3,8|9
6,8|10
2,8|11
7,8|12
1,8|13
6,8|14
5,8|15
1,8|16
6,8|17
5,8|18
7,8|19
7,8|20
5,8|21
9,8|22
6,8|23
7,8|24
3,8|25
5,8|26
5,8|27
6,8|28
5,8|29
5,8|30
5,8|31
8,8|32
2,8|33
1,8|34
4,8|35
3,8|36
9,8|37
6,8|38
3,8|39
5,8|40
4,8|41
6,8|42
3,8|43
10,9|10
3,9|11
1,9|12
4,9|13
3,9|14
4,9|15
2,9|16
4,9|17
3,9|18
1,9|19
2,9|20
2,9|21
6,9|22
3,9|23
3,9|24
5,9|25
2,9|26
1,9|27
1,9|28
5,9|29
4,9|30
8,9|31
2,9|32
3,9|33
2,9|34
4,9|35
5,9|36
1,9|37
4,9|38
3,9|39
4,9|40
4,9|41
5,9|42
3,10|11
4,10|12
6,10|13
7,10|14
7,10|15
2,10|16
3,10|17
6,10|18
5,10|19
5,10|20
7,10|21
7,10|22
3,10|23
5,10|24
2,10|25
4,10|26
3,10|27
4,10|28
4,10|29
6,10|30
2,10|31
3,10|32
3,10|33
3,10|34
5,10|35
4,10|36
6,10|37
3,10|38
4,10|39
8,10|40
3,10|41
6,10|42
4,10|43
3,11|12
4,11|13
5,11|14
4,11|15
2,11|16
4,11|17
5,11|18
6,11|19
2,11|20
4,11|21
3,11|22
7,11|23
3,11|24
1,11|25
3,11|26
4,11|27
3,11|28
1,11|29
5,11|30
2,11|31
4,11|32
3,11|33
4,11|34
3,11|35
6,11|36
3,11|37
5,11|38
5,11|39
2,11|40
3,11|41
4,11|42
3,11|43
3,12|13
5,12|14
5,12|15
4,12|16
4,12|17
5,12|19
4,12|20
2,12|21
2,12|22
2,12|23
2,12|24
3,12|25
6,12|27
3,12|28
7,12|29
3,12|30
5,12|31
6,12|32
4,12|33
3,12|34
4,12|35
1,12|36
1,12|37
3,12|38
2,12|39
5,12|40
4,12|41
1,12|42
3,12|43
5,13|14
2,13|15
6,13|16
5,13|17
3,13|18
3,13|19
4,13|20
4,13|21
7,13|22
2,13|23
5,13|24
2,13|25
4,13|26
3,13|27
3,13|28
2,13|29
3,13|30
4,13|31
3,13|32
2,13|33
5,13|34
4,13|35
3,13|36
6,13|37
2,13|38
1,13|39
4,13|40
2,13|41
2,13|42
3,13|43
4,14|15
3,14|16
1,14|17
2,14|19
4,14|20
1,14|21
2,14|22
6,14|23
1,14|24
4,14|25
3,14|26
2,14|27
7,14|28
3,14|29
7,14|30
4,14|31
2,14|32
2,14|33
6,14|34
3,14|35
3,14|36
6,14|37
2,14|38
2,14|39
5,14|40
5,14|41
6,14|42
1,14|43
3,15|16
1,15|17
2,15|18
1,15|19
3,15|20
5,15|21
5,15|22
5,15|23
5,15|24
2,15|25
5,15|26
7,15|27
4,15|28
6,15|29
7,15|30
3,15|31
6,15|32
2,15|33
1,15|34
3,15|35
3,15|36
4,15|37
5,15|38
6,15|39
7,15|40
5,15|41
3,15|42
4,15|43
3,16|17
4,16|18
2,16|19
2,16|20
8,16|22
3,16|23
4,16|24
7,16|25
7,16|26
1,16|27
4,16|28
2,16|29
3,16|30
6,16|31
5,16|32
1,16|33
5,16|34
3,16|35
5,16|36
2,16|37
3,16|38
4,16|39
2,16|40
3,16|41
2,16|43
5,17|18
2,17|19
4,17|20
4,17|21
4,17|22
4,17|23
3,17|24
5,17|25
2,17|26
3,17|27
3,17|28
3,17|29
5,17|30
4,17|31
4,17|32
2,17|33
6,17|34
4,17|35
4,17|36
5,17|37
5,17|38
2,17|39
6,17|40
1,17|41
3,17|42
2,17|43
4,18|19
3,18|20
3,18|21
7,18|22
5,18|23
3,18|24
2,18|25
1,18|26
2,18|27
5,18|28
5,18|29
3,18|30
4,18|31
4,18|32
4,18|33
6,18|34
2,18|35
3,18|36
5,18|37
3,18|38
3,18|39
3,18|40
3,18|41
7,18|42
3,18|43
8,19|20
2,19|21
6,19|22
3,19|23
3,19|24
4,19|25
3,19|26
5,19|27
3,19|28
1,19|29
7,19|30
5,19|31
5,19|32
4,19|33
7,19|34
3,19|35
3,19|36
5,19|37
2,19|38
6,19|39
4,19|40
2,19|41
2,19|42
2,19|43
3,20|21
9,20|22
6,20|23
5,20|24
5,20|25
7,20|26
6,20|27
10,20|28
2,20|29
2,20|30
3,20|31
5,20|32
5,20|33
6,20|34
6,20|35
2,20|36
7,20|37
4,20|38
4,20|39
2,20|40
2,20|41
1,20|42
3,20|43
4,21|22
4,21|23
3,21|24
2,21|25
3,21|26
4,21|27
2,21|28
1,21|30
6,21|31
5,21|32
5,21|33
7,21|34
4,21|35
2,21|36
5,21|37
2,21|38
3,21|39
3,21|40
1,21|41
4,21|42
1,21|43
6,22|23
6,22|24
9,22|25
2,22|26
3,22|27
7,22|28
2,22|29
4,22|30
4,22|31
6,22|32
4,22|33
7,22|34
3,22|35
2,22|36
3,22|37
5,22|38
2,22|39
7,22|40
2,22|41
1,22|42
5,22|43
4,23|24
5,23|25
11,23|26
2,23|27
9,23|28
3,23|29
6,23|30
2,23|31
3,23|32
3,23|33
4,23|34
3,23|35
6,23|36
4,23|37
8,23|38
2,23|39
3,23|40
5,23|41
3,23|42
2,23|43
4,24|25
4,24|26
3,24|27
3,24|28
3,24|29
3,24|30
3,24|31
7,24|32
3,24|33
4,24|34
3,24|35
6,24|36
2,24|37
4,24|38
4,24|39
3,24|40
5,24|41
5,24|42
4,24|43
8,25|26
3,25|27
5,25|28
4,25|29
2,25|30
6,25|31
5,25|32
4,25|33
4,25|34
4,25|35
5,25|36
4,25|38
3,25|39
5,25|40
6,25|41
1,25|42
4,25|43
3,26|27
4,26|28
5,26|29
6,26|30
7,26|31
8,26|32
2,26|33
3,26|34
4,26|35
5,26|36
6,26|37
3,26|38
3,26|39
8,26|40
4,26|41
2,26|42
3,26|43
6,27|28
2,27|29
4,27|30
6,27|32
7,27|34
7,27|35
3,27|36
2,27|37
2,27|38
5,27|39
6,27|40
7,27|41
4,27|42
2,28|29
4,28|30
4,28|31
1,28|32
4,28|33
6,28|34
2,28|35
4,28|36
4,28|37
2,28|38
4,28|39
5,28|40
4,28|41
1,28|42
6,28|43
6,29|30
6,29|31
8,29|32
5,29|33
1,29|34
3,29|35
4,29|36
5,29|37
3,29|38
2,29|39
6,29|40
9,29|41
1,29|42
4,29|43
4,30|31
6,30|32
7,30|34
5,30|35
6,30|36
7,30|37
3,30|38
2,30|39
8,30|40
2,30|41
5,30|42
4,30|43
5,31|32
7,31|33
8,31|34
4,31|35
5,31|36
3,31|37
4,31|38
6,31|39
3,31|40
7,31|41
7,31|42
2,31|43
6,32|33
7,32|34
4,32|35
3,32|36
4,32|37
3,32|38
3,32|39
6,32|40
7,32|41
5,32|42
5,32|43
5,33|34
6,33|35
3,33|36
1,33|37
1,33|38
4,33|39
1,33|40
6,33|41
3,33|42
2,33|43
3,34|35
5,34|36
2,34|37
1,34|38
5,34|39
3,34|40
4,34|41
6,34|42
6,34|43
8,35|36
2,35|37
3,35|39
3,35|40
3,35|41
3,35|42
5,35|43
8,36|37
6,36|38
4,36|39
4,36|40
3,36|41
4,36|42
4,36|43
6,37|38
1,37|39
5,37|40
2,37|41
3,37|42
3,37|43
6,38|39
3,38|40
1,38|41
3,38|42
2,38|43
3,39|40
3,39|41
4,39|42
1,39|43
2,40|41
4,40|42
4,40|43
3,41|42
7,41|43
3,42|43
